dataset,attribute,group,baseline_accuracy,baseline_recall,baseline_specificity,adv_accuracy,adv_recall,adv_specificity
inhosp_mort,gender,Male,0.014652014652014652,0.0,0.014652014652014652,0.9560439560439561,0.0,0.9560439560439561
inhosp_mort,gender,Female,0.014652014652014652,0.0,0.014652014652014652,0.9560439560439561,0.0,0.9560439560439561
inhosp_mort,language_to_use,English,0.4139194139194139,0.9658119658119658,0.0,0.5641025641025641,0.042735042735042736,0.9551282051282052
inhosp_mort,language_to_use,Other,0.11721611721611722,1.0,0.0163265306122449,0.8608058608058609,0.03571428571428571,0.9551020408163265
inhosp_mort,ethnicity_to_use,White,0.014652014652014652,0.0,0.014652014652014652,0.9560439560439561,0.0,0.9560439560439561
inhosp_mort,ethnicity_to_use,Other,0.014652014652014652,0.0,0.014652014652014652,0.9560439560439561,0.0,0.9560439560439561
inhosp_mort,ethnicity_to_use,Black,0.014652014652014652,0.0,0.014652014652014652,0.9560439560439561,0.0,0.9560439560439561
inhosp_mort,ethnicity_to_use,Other,0.014652014652014652,0.0,0.014652014652014652,0.9560439560439561,0.0,0.9560439560439561
inhosp_mort,ethnicity_to_use,Hispanic,0.014652014652014652,0.0,0.014652014652014652,0.9560439560439561,0.0,0.9560439560439561
inhosp_mort,ethnicity_to_use,Other,0.014652014652014652,0.0,0.014652014652014652,0.9560439560439561,0.0,0.9560439560439561
inhosp_mort,ethnicity_to_use,Asian,0.014652014652014652,0.0,0.014652014652014652,0.9560439560439561,0.0,0.9560439560439561
inhosp_mort,ethnicity_to_use,Other,0.014652014652014652,0.0,0.014652014652014652,0.9560439560439561,0.0,0.9560439560439561
inhosp_mort,insurance,Medicare,0.5018315018315018,0.9854014598540146,0.014705882352941176,0.4908424908424908,0.0364963503649635,0.9485294117647058
inhosp_mort,insurance,Other,0.014652014652014652,0.0,0.014652014652014652,0.9560439560439561,0.0,0.9560439560439561
inhosp_mort,insurance,Private,0.326007326007326,0.9885057471264368,0.016129032258064516,0.6666666666666666,0.04597701149425287,0.956989247311828
inhosp_mort,insurance,Other,0.014652014652014652,0.0,0.014652014652014652,0.9560439560439561,0.0,0.9560439560439561
